@relation highestFret

@attribute highestFret NUMERIC
@attribute grade {1,2,3,4,5,6,7,8}

@data
3, 1
5, 1
5, 1
5, 1
5, 1
3, 1
5, 2
5, 2
5, 2
3, 2
5, 2
4, 2
3, 2
3, 2
3, 2
3, 2
5, 2
5, 2
7, 2
5, 2
5, 2
4, 2
5, 2
3, 2
3, 2
5, 2
5, 3
5, 3
3, 3
4, 3
3, 3
5, 3
3, 3
4, 3
3, 3
5, 3
5, 3
5, 3
4, 3
4, 3
5, 3
4, 3
4, 3
3, 3
4, 3
3, 3
5, 3
3, 3
5, 3
3, 3
5, 3
3, 3
3, 3
5, 3
3, 3
5, 3
5, 3
5, 3
5, 3
7, 3
5, 3
8, 3
11, 3
5, 3
8, 4
7, 4
7, 4
7, 4
3, 4
4, 4
7, 4
5, 4
7, 4
7, 4
7, 4
11, 4
10, 4
8, 4
11, 4
5, 4
8, 5
11, 5
8, 5
7, 5
8, 5
7, 5
7, 5
7, 5
7, 5
7, 5
8, 5
10, 5
7, 5
7, 5
8, 5
10, 6
8, 6
7, 6
11, 6
7, 6
11, 6
8, 6
11, 6
10, 6
7, 6
8, 6
11, 6
8, 6
10, 6
7, 6
11, 6
8, 6
10, 6
10, 6
7, 6
10, 6
8, 6
8, 6
8, 6
5, 6
13, 6
11, 6
7, 6
8, 7
11, 7
10, 7
7, 7
11, 7
11, 7
10, 7
8, 7
13, 7
7, 7
8, 7
7, 7
10, 7
10, 7
11, 7
7, 7
11, 7
7, 7
13, 7
10, 8
8, 8
10, 8
12, 8
11, 8
7, 8
11, 8
8, 8
11, 8
7, 8
